,lemat,emocje,stopien_nacechowania
227,awanturnictwo,złość;zaskoczenie,- m
228,awaria,złość;smutek,- s
229,awaria,złość;smutek,- s
230,awersja,wstręt;strach,- m
231,awersja,wstręt;złość,- m
234,azyl,radość;,+ s
235,azyl,zaufanie;,+ s
237,azyl,zaufanie;,+ s
240,baba,wstręt;złość,- m
241,baba,wstręt;złość,- m
245,babie lato,radość;,+ s
246,babsko,złość;,- m
247,babsko,wstręt;złość,- m
248,babsztyl,złość;,- m
249,babsztyl,wstręt;złość,- m
252,baczny,zaufanie;cieszenie się na,+ s
253,baczny,zaufanie;,+ s
254,badać,zaufanie;,+ s
272,balanga,złość;radość;wstręt,amb
273,balanga,złość;radość,amb
274,balast,smutek;złość;wstręt;,- m
275,balast,smutek;złość;,- m
290,baran,wstręt;złość,- m
291,baran,wstręt;złość,- m
292,bariera,złość;,- s
293,bariera,smutek;złość;,- s
298,bawić się,smutek;złość;,- m
299,bawić się,smutek;złość;,- s
300,bawić się,smutek;złość;wstręt;,- s
303,bęcwał,wstręt;złość,- m
304,bęcwał,wstręt;złość,- m
305,bękart,wstręt;złość,- m
306,bękart,wstręt;złość;smutek,- m
309,berbeć,złość;radość;smutek,amb
310,berbeć,złość;radość,+ s
311,berbeć,złość;radość;wstręt,amb
312,bezbłędny,radość;,+ m
313,bezbłędny,radość;,+ m
314,bezcelowy,smutek;,- s
315,bezcelowy,złość;smutek,- s
316,bezcenny,zaufanie;radość,+ m
317,bezcenny,radość;,+ m
318,bezceremonialność,złość;,- s
319,bezceremonialność,złość;,- s
320,bezczelny,złość;smutek,- m
321,bezczelny,wstręt;złość;smutek,- m
322,bezczynny,złość;smutek,- s
323,bezczynny,złość;smutek,- m
324,bezdomność,smutek;złość;strach;,- s
325,bezdomność,smutek;,- m
326,bezdomność,smutek;,- s
329,bezgrzeszny,zaufanie;,+ m
330,bezgrzeszny,zaufanie;,+ m
331,bezinteresowny,zaufanie;radość,+ m
332,bezinteresowny,zaufanie;radość,+ m
333,bezkompromisowy,złość;radość;smutek,amb
334,bezkompromisowy,zaufanie;złość;smutek,amb
335,bezkonfliktowy,zaufanie;radość,+ s
336,bezkonfliktowy,zaufanie;radość,+ s
337,bezkresny,radość;strach;smutek,amb
338,bezkresny,radość;smutek;strach,amb
339,bezkrwistość,wstręt;złość,- s
340,bezkrwistość,smutek;strach,- s
343,bezlitosny,złość;smutek;strach,- m
344,bezlitosny,złość;smutek;strach,- m
348,bezludzie,smutek;strach;wstręt;,- s
349,bezmyślny,wstręt;złość;smutek,- m
350,bezmyślny,wstręt;złość;smutek,- m
351,beznadziejny,wstręt;złość,- m
352,beznadziejny,złość;smutek,- m
353,beznamiętny,zaufanie;złość;radość;smutek,amb
354,beznamiętny,zaufanie;złość;smutek,amb
357,bezpieczeństwo,zaufanie;radość,+ m
358,bezpieczeństwo,radość;zaufanie;,+ m
359,bezpieczny,zaufanie;,+ s
360,bezpieczny,zaufanie;,+ s
361,bezpodstawny,złość;smutek,- m
362,bezpodstawny,złość;,- m
365,bezpośredni,złość;radość,amb
366,bezpośredni,złość;radość,amb
367,bezpośredniość,złość;radość,amb
368,bezpośredniość,złość;radość,amb
369,bezprawny,smutek;,- m
370,bezprawny,wstręt;złość;smutek,- m
371,bezproduktywny,złość;smutek,- m
372,bezproduktywny,złość;smutek,- m
375,bezpłatny,radość;,+ s
378,bezradny,smutek;zaskoczenie,- s
379,bezradny,smutek;zaskoczenie,- s
386,bezsilny,smutek;zaskoczenie,- s
387,bezsilny,smutek;zaskoczenie,- s
388,bezskuteczny,złość;smutek,- m
389,bezskuteczny,złość;smutek,- m
390,bezstronność,zaufanie;,+ s
391,bezstronność,zaufanie;,+ s
392,bezstronny,zaufanie;,+ s
393,bezstronny,zaufanie;,+ s
394,beztroski,złość;,- m
395,beztroski,złość;smutek,- m
396,bezużyteczny,wstręt;złość;smutek,- s
397,bezużyteczny,wstręt;złość;smutek,- s
398,bezwartościowy,wstręt;złość;smutek,- m
399,bezwartościowy,wstręt;złość;smutek,- m
404,bezzwłoczny,radość;,+ s
405,bezzwłoczny,radość;,+ s
414,bić,smutek;złość;strach;,- s
415,bić,smutek;złość;strach;wstręt;,- s
422,bieda,złość;smutek;strach,- s
423,bieda,smutek;złość;,- s
424,bieda,smutek;,- m
425,bieda,smutek;,- m
426,biedak,smutek;,- m
427,biedak,smutek;,- m
428,biedny,smutek;,- s
429,biedny,smutek;,- s
436,bierny,złość;,- s
437,bierny,złość;,- s
438,bies,strach;,- m
439,bies,wstręt;smutek;strach,- m
442,niezawodność,zaufanie;,+ m
443,niezawodność,zaufanie;,+ m
462,bladość,radość;smutek,amb
463,bladość,radość;smutek;strach,amb
468,bliźni,zaufanie;,+ s
469,bliźni,zaufanie;,+ s
484,bogactwo,radość;zaufanie;,+ m
485,bogactwo,radość;,+ m
486,bogaty,zaufanie;złość;radość,amb
487,bogaty,złość;radość,amb
488,bohaterski,radość;,+ m
489,bohaterski,zaufanie;radość,+ m
494,bójka,złość;,- s
495,bójka,złość;,- s
498,ból,smutek;,- m
499,ból,smutek;,- m
500,bolączka,złość;smutek,- s
501,bolączka,złość;smutek,- s
502,bolesny,złość;smutek;strach,- m
503,bolesny,smutek;złość;strach;,- m
524,brać górę,radość;smutek;złość;,amb
525,brać górę,radość;złość;,amb
528,brak,złość;radość;smutek,amb
529,brak,radość;smutek;złość;,amb
530,brak,smutek;złość;,- s
531,brak,smutek;złość;,- s
532,brakować,smutek;złość;,- s
533,brakować,smutek;,- s
544,braterstwo,zaufanie;radość,+ m
545,braterstwo,zaufanie;radość,+ m
546,brawurowy,złość;radość,amb
547,brawurowy,złość;radość,amb
550,bronić,zaufanie;,+ s
551,bronić,zaufanie;,+ s
552,bronić,zaufanie;,+ s
553,bronić,,+ s
554,brud,wstręt;złość,- s
555,brud,wstręt;złość,- s
556,brudny,wstręt;złość,- s
557,brudny,wstręt;złość,- s
560,brutalny,wstręt;smutek;strach,- m
561,brutalny,wstręt;smutek;strach,- m
566,brzdąc,złość;radość;smutek,amb
567,brzdąc,radość;,+ s
568,brzdąc,złość;radość,amb
573,brzydki,wstręt;,- m
574,brzydki,wstręt;,- m
581,budujący,radość;,+ m
582,budujący,zaufanie;radość,+ m
591,burak,wstręt;złość,- s
592,burak,wstręt;złość,- s
597,butny,złość;smutek,amb
598,butny,wstręt;złość,- m
599,butny,wstręt;złość,- s
600,bydło,złość;wstręt;,- m
601,bydło,złość;wstręt;,- m
604,bystrość,zaufanie;radość,+ m
605,bystrość,radość;zaufanie;,+ m
606,bystry,radość;,+ m
607,bystry,radość;,+ m
616,błagalny,smutek;,- s
617,błagalny,smutek;,- s
618,błędny,złość;smutek,- s
619,błędny,złość;smutek,- s
624,błyskawiczny,radość;,+ s
625,błyskawiczny,radość;,+ s
626,błyskotliwy,radość;,+ m
627,błyskotliwy,radość;,+ m
648,celny,zaufanie;,+ m
649,celny,zaufanie;,+ m
650,celowy,złość;radość;smutek,amb
651,celowy,złość;radość;smutek,amb
654,ceniony,zaufanie;radość,+ m
655,ceniony,zaufanie;radość,+ m
656,cenny,zaufanie;radość,+ m
657,cenny,zaufanie;radość,+ m
672,chaos,wstręt;złość,- s
673,chaos,wstręt;złość,- s
674,chaotyczny,złość;smutek,- s
675,chaotyczny,złość;smutek,- s
678,charakter,zaufanie;złość;radość;smutek,amb
679,charakter,złość;radość;smutek,amb
680,charakterystyczny,złość;radość;smutek;wstręt,amb
681,charakterystyczny,złość;radość;smutek;wstręt,amb
686,chciwy,wstręt;,- m
687,chciwy,wstręt;złość;smutek,- m
688,chęć,złość;cieszenie się na;radość,amb
689,chęć,złość;cieszenie się na;radość,amb
696,chętka,cieszenie się na;radość,+ s
697,chętka,cieszenie się na;radość,+ s
698,chętny,cieszenie się na;,+ s
699,chętny,cieszenie się na;,+ s
700,chełpliwy,złość;smutek,- s
701,chełpliwy,wstręt;złość,- s
704,chlubny,radość;,+ m
705,chlubny,zaufanie;radość,+ m
710,chodzić,radość;,+ s
716,chorobliwy,wstręt;złość;smutek;strach,- m
717,chorobliwy,wstręt;złość;smutek;strach,- m
718,chorowity,smutek;strach,- s
719,chorowity,smutek;strach,- s
722,chować,zaufanie;,+ s
723,chować,zaufanie;,+ s
724,chronić,zaufanie;,+ s
725,chronić,zaufanie;smutek;złość;,amb
726,chronić,zaufanie;cieszenie się na coś oczekiwanego;złość;wstręt;,amb
733,chudzielec,wstręt;,- s
734,chudzielec,wstręt;,- s
745,chytry,złość;cieszenie się na;radość;smutek;strach,amb
746,chytry,złość;radość;smutek,amb
747,chłodny,smutek;,- s
748,chłodny,smutek;,- s
749,chłop,wstręt;,- s
750,chłop,wstręt;radość,amb
769,ciasnota,złość;smutek,- s
770,ciasnota,,- s
771,ciasny,złość;smutek,- s
772,ciasny,złość;smutek,- s
780,ciekawić się,zaufanie;złość;,amb
781,ciekawić się,radość;cieszenie się na coś oczekiwanego;,+ s
782,ciekawić się,radość;cieszenie się na coś oczekiwanego;wstręt;,amb
783,ciekawość,cieszenie się na;,amb
784,ciekawość,cieszenie się na;radość;zaskoczenie,amb
785,ciekawy,radość;,+ m
786,ciekawy,radość;,+ m
789,ciemna masa,wstręt;złość,- m
790,ciemna masa,wstręt;złość,- m
809,ciepło,radość;,+ s
810,ciepło,radość;,+ s
813,cierpiący,smutek;,- s
815,cierpiący,smutek;,- s
816,cierpieć,smutek;złość;strach;,- m
817,cierpieć,smutek;strach;,- m
818,cierpki,złość;smutek,- s
819,cierpki,złość;smutek,- s
820,cierpliwość,zaufanie;radość,+ m
821,cierpliwość,radość;,+ m
822,cierpliwy,radość;,+ m
823,cierpliwy,radość;,+ s
824,cierpliwy,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ s
825,cieszyć się,radość;,+ m
826,cieszyć się,radość;,+ s
827,cieszyć się,radość;,+ s
831,ciężki,radość;smutek;złość;,amb
832,ciężki,cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;złość;wstręt;,amb
842,ciżba,złość;,- m
843,ciżba,złość;wstręt;,- s
844,ciżba,złość;strach;wstręt;,- s
845,ckliwy,wstręt;radość,amb
846,ckliwy,wstręt;radość,amb
853,cnotliwy,złość;radość;wstręt,amb
854,cnotliwy,radość;zaufanie;,amb
856,cofać,radość;smutek;złość;,amb
860,cofnąć,radość;smutek;złość;,amb
861,córcia,radość;,+ m
862,córcia,radość;,+ m
863,córeczka,radość;,+ m
864,córeczka,radość;,+ m
865,córeńka,radość;,+ m
866,córeńka,radość;,+ m
869,córuchna,radość;,+ m
870,córuchna,radość;,+ m
871,córunia,radość;,+ m
872,córunia,radość;,+ m
873,cudny,radość;,+ m
874,cudny,radość;,+ m
875,cudowność,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
876,cudowność,,+ m
877,cudowny,radość;,+ m
878,cudowny,radość;,+ m
879,cudzy,smutek;złość;wstręt;,- s
880,cudzy,smutek;złość;wstręt;,- s
881,ćwierćinteligent,wstręt;złość,- m
882,ćwierćinteligent,wstręt;złość,- m
887,cymbał,wstręt;złość,- m
888,cymbał,wstręt;złość,- m
891,cywilizacja,radość;smutek,amb
892,cywilizacja,radość;smutek,amb
895,czarny,wstręt;,- s
897,czart,strach;,- m
898,czart,wstręt;smutek;strach,- m
899,czarujący,radość;,+ m
900,czarujący,radość;,+ m
913,czcigodny,radość;,+ s
914,czcigodny,zaufanie;radość,+ s
915,czczość,smutek;,- m
916,czczość,smutek;,- m
920,czekać,radość;cieszenie się na coś oczekiwanego;smutek;,amb
921,czelność,złość;,- m
922,czelność,złość;,- m
923,czelność,złość;,- m
938,czort,strach;,- m
939,czort,wstręt;smutek;strach,- m
944,czołówka,radość;,amb
952,czujny,zaufanie;cieszenie się na,+ s
953,czujny,zaufanie;,+ s
954,czuwać,zaufanie;,+ s
955,czuwać,zaufanie;,+ s
956,czułostkowy,wstręt;smutek,- s
957,czułostkowy,wstręt;złość;smutek,- s
958,czuły,zaufanie;radość,+ s
959,czuły,zaufanie;radość,+ s
962,czynny,radość;,+ s
963,czynny,radość;,+ s
980,człowieczeństwo,zaufanie;,+ m
981,człowieczeństwo,zaufanie;,+ m
985,człowiek interesu,zaufanie;radość,+ s
986,człowiek interesu,zaufanie;radość,+ s
1000,darczyńca,,+ s
1001,daremny,złość;smutek,- s
1002,daremny,smutek;złość;,- s
1003,darmowy,radość;,+ s
1006,darowizna,radość;,+ s
1007,darowizna,radość;,+ s
1010,datek,radość;,+ s
1011,datek,radość;,+ s
1020,dbałość,zaufanie;radość,+ s
1021,dbałość,zaufanie;radość,+ s
1025,decydujący,zaufanie;,+ s
1026,defekt,złość;smutek,- s
1027,defekt,smutek;złość;,- s
1028,deficyt,smutek;złość;,- s
1034,delikatność,radość;smutek,amb
1035,delikatność,radość;smutek;,amb
1036,delikatny,radość;smutek,amb
1037,delikatny,złość;radość;smutek,amb
1038,demaskator,zaufanie;,+ s
1039,demaskator,zaufanie;,+ s
1044,denerwować się,złość;,- s
1045,denerwować się,smutek;złość;,- s
1056,desperacja,smutek;zaskoczenie,- m
1057,desperacja,smutek;,- m
1058,determinacja,zaufanie;smutek;,amb
1059,determinacja,radość;,+ s
1060,determinacja,radość;cieszenie się na coś oczekiwanego;strach;wstręt;,amb
1071,dobitny,wstręt;strach;radość;smutek;zaskoczenie,amb
1072,dobitny,wstręt;smutek;strach,amb
1073,dobro,zaufanie;cieszenie się na;radość,+ m
1074,dobro,radość;zaufanie;,+ m
1075,dobrobyt,złość;radość;wstręt,amb
1076,dobrobyt,złość;radość;wstręt,amb
1077,dobroczyńca,radość;,+ m
1078,dobroczyńca,radość;,+ m
1079,dobroduszny,zaufanie;radość,+ s
1080,dobroduszny,zaufanie;radość,+ s
1081,dobrodziej,radość;,+ s
1082,dobrodziej,radość;,+ m
1083,dobry,zaufanie;radość,+ m
1084,dobry,zaufanie;radość,+ m
1085,dobry duch,zaufanie;radość,+ m
1086,dobry duch,radość;zaufanie;,+ m
1091,dochodowy,radość;,+ m
1092,dochodowy,radość;,+ m
1093,dociekliwy,złość;radość,amb
1094,dociekliwy,złość;radość,amb
1095,doczekać,cieszenie się na coś oczekiwanego;,+ s
1096,doczekać,radość;cieszenie się na coś oczekiwanego;smutek;złość;,amb
1097,doczekać,cieszenie się na coś oczekiwanego;złość;,amb
1098,doczekać się,cieszenie się na coś oczekiwanego;,+ s
1099,doczekać się,radość;cieszenie się na coś oczekiwanego;smutek;złość;,amb
1100,doczekać się,radość;smutek;złość;,amb
1108,dodatkowy,radość;,+ s
1113,doglądać,zaufanie;,+ s
1114,doglądać,zaufanie;,+ s
1115,dogodny,radość;,+ s
1116,dogodny,radość;,+ s
1117,dogłębny,smutek;złość;strach;wstręt;,- s
1118,dogłębny,radość;smutek;,amb
1119,dogłębny,radość;złość;,amb
1130,dojście,,+ s
1131,dojście,zaufanie;,+ s
1136,dokładny,zaufanie;radość,+ s
1137,dokładny,zaufanie;radość,+ s
1138,dola,smutek;złość;,- s
1139,dola,radość;smutek;złość;,amb
1140,dola,zaufanie;smutek;wstręt;,amb
1143,dolegliwość,smutek;,- m
1144,dolegliwość,smutek;złość;,- m
1151,dom,,+ s
1164,domyślać się,radość;smutek;złość;,amb
1165,domyślać się,zaufanie;,+ s
1166,domyślać się,zaufanie;,+ s
1167,doniosły,zaufanie;,+ m
1168,doniosły,zaufanie;,+ m
1169,donośny,zaufanie;radość,+ s
1170,donośny,radość;,+ s
1172,dopełnienie,radość;,+ s
1173,dopuszczalny,radość;,+ s
1174,dopuszczalny,radość;,+ s
1187,dorobek,,+ s
1189,dorobek,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ s
1190,dorobek,radość;smutek;,amb
1191,dorobek,radość;smutek;,amb
1192,dorobić się,radość;,+ s
1193,dorobić się,radość;cieszenie się na coś oczekiwanego;,+ s
1194,dorodny,radość;,+ m
1195,dorodny,radość;,+ m
1200,dosadny,wstręt;radość;smutek;zaskoczenie,amb
1201,dosadny,wstręt;smutek;strach,amb
1206,dostateczny,radość;,+ s
1207,dostateczny,radość;,+ s
1208,dostatek,radość;zaufanie;,+ s
1209,dostatek,radość;zaufanie;,+ m
1210,dostatek,radość;cieszenie się na coś oczekiwanego;,+ s
1219,dostojność,zaufanie;,+ s
1220,dostojność,zaufanie;,+ s
1221,dostojny,zaufanie;radość,+ m
1222,dostojny,radość;zaufanie;,+ m
1223,doświadczony,zaufanie;,+ s
1224,doświadczony,zaufanie;,+ s
1229,dotknąć,smutek;złość;,- m
1230,dotknąć,smutek;,- s
1231,dotknąć,smutek;,- s
1242,dowieść,zaufanie;,+ s
1243,dowieść,zaufanie;,+ s
1246,dowodzić,zaufanie;,+ s
1247,dowodzić,zaufanie;,+ s
1248,dowodzić,zaufanie;,+ s
1249,dowodzić,zaufanie;,+ s
1250,dowodzić,zaufanie;,+ s
1251,dowodzić,zaufanie;,+ s
1256,dowolność,złość;radość;wstręt,amb
1257,dowolność,złość;radość,amb
1258,dowolny,złość;radość,amb
1259,dowolny,złość;radość,amb
1262,doznanie,radość;smutek,amb
1263,doznanie,radość;smutek;,amb
1264,dozwolony,radość;,+ s
1265,dozwolony,radość;,+ s
1268,dramat,złość;smutek;strach,- m
1269,dramat,złość;smutek;strach,- m
1270,dramatyczny,złość;smutek,- m
1271,dramatyczny,złość;smutek,- m
1272,draństwo,wstręt;złość;strach,- m
1273,draństwo,wstręt;złość;strach,- m
1276,drastyczny,wstręt;strach;zaskoczenie,- m
1277,drastyczny,wstręt;strach,- m
1278,drażliwy,złość;smutek;strach,- m
1279,drażliwy,złość;smutek;strach,- m
1280,dręczyć,złość;,- s
1281,dręczyć,smutek;złość;,- m
1282,dręczyć,złość;,- s
1289,drobiazgowy,zaufanie;złość,amb
1290,drobiazgowy,zaufanie;złość,amb
1293,drobny,złość;radość,amb
1294,drobny,złość;radość,amb
1322,drzemka,radość;,+ s
1325,duch,zaufanie;radość;smutek;wstręt,amb
1326,duch,zaufanie;radość;smutek,amb
1333,duma,wstręt;złość,- m
1334,duma,wstręt;złość,- m
1335,dumny,zaufanie;złość;strach,amb
1336,dumny,zaufanie;złość;strach,amb
1337,dusiciel,wstręt;złość;strach,- m
1338,dusiciel,wstręt;złość;strach,- m
1339,dusza,zaufanie;radość;smutek;wstręt;strach,amb
1340,dusza,zaufanie;radość;smutek;strach,amb
1341,duszny,smutek;,- s
1342,duszny,smutek;złość;,- s
1357,dwulicowy,wstręt;złość;strach,- m
1358,dwulicowy,wstręt;złość;strach,- m
1359,dwuznaczny,wstręt;złość;smutek,- m
1360,dwuznaczny,złość;smutek,- s
1362,dycha,radość;smutek;złość;,amb
1365,dyletant,-;,- s
1366,dyletant,złość;,- s
1367,dynamiczny,cieszenie się na;,+ m
1368,dynamiczny,cieszenie się na;,+ m
1373,dyscyplina,zaufanie;,+ s
1374,dyscyplina,zaufanie;,+ s
1377,dyskomfort,złość;smutek;strach,- m
1378,dyskomfort,złość;smutek;strach,- s
1379,dyskomfort,złość;smutek;strach,- s
1380,dyskretny,zaufanie;,+ s
1381,dyskretny,radość;zaufanie;,+ s
1382,dyskusyjny,smutek;złość;,- s
1383,dyskusyjny,smutek;złość;,- s
1388,dystans,strach;,amb
1389,dystans,smutek;strach,amb
1398,dziadzio,zaufanie;radość,+ m
1399,dziadzio,zaufanie;radość,+ m
1402,działać,,+ s
1403,działać,zaufanie;,+ s
1406,działacz,radość;złość;,amb
1408,działacz,radość;wstręt;,amb
1415,dzieciak,złość;radość,amb
1416,dzieciak,złość;radość;wstręt,amb
1417,dzieciątko,radość;,+ s
1418,dzieciątko,radość;,+ s
1419,dziecię,radość;,+ s
1420,dziecię,złość;radość,amb
1421,dziecię,radość;,+ s
1424,dziecina,złość;radość;smutek,amb
1425,dziecina,zaufanie;radość;smutek,amb
1426,dziecinka,złość;radość;smutek,amb
1427,dziecinka,radość;smutek,amb
1430,dzieciuch,złość;,- s
1431,dzieciuch,złość;,- s
1434,dziedzictwo,radość;,+ s
1442,dzielny,radość;,+ s
1443,dzielny,radość;zaufanie;,+ m
1444,dzielny,radość;,+ s
1445,dzielny,radość;,+ m
1446,dzielny,radość;,+ m
1452,dzień wolny,radość;cieszenie się na coś oczekiwanego;,+ s
1460,dzierżyć,zaufanie;smutek;złość;wstręt;,amb
1465,dziewczę,zaufanie;radość;smutek,amb
1466,dziewczę,radość;zaufanie;smutek;,amb
1472,dziewiczy,radość;zaskoczenie czymś nieprzewidywanym;,amb
1473,dziki,złość;radość;smutek;strach,amb
1474,dziki,złość;radość;smutek;strach,amb
1481,dziwaczny,złość;,- s
1482,dziwaczny,wstręt;złość;smutek,- s
1483,dziwak,wstręt;złość;strach,- m
1484,dziwak,wstręt;złość;strach,- m
1487,dźwięczność,radość;,+ m
1488,dźwięczność,radość;,+ m
1489,dźwięczny,radość;,+ m
1490,dźwięczny,radość;,+ m
1491,dług,smutek;złość;,- m
1492,dług,smutek;złość;,- s
1493,dług,smutek;,- s
1504,efektowny,radość;,+ m
1505,efektowny,radość;,+ m
1506,efektywność,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
1507,efektywność,radość;,+ s
1508,efektywność,cieszenie się na coś oczekiwanego;,+ s
1509,efektywny,radość;,+ s
1510,efektywny,zaufanie;radość,+ s
1512,egzamin,radość;strach;,amb
1523,ekscentryczny,złość;radość,amb
1524,ekscentryczny,złość;radość,amb
1525,ekscentryk,złość;radość;strach;wstręt,amb
1526,ekscentryk,złość;radość;strach;wstręt,amb
1527,ekskrementy,wstręt;,- s
1535,eksponowany,radość;zaufanie;,+ s
1536,eksponowany,radość;,+ s
1539,ekspresowy,cieszenie się na;radość,+ s
1540,ekspresowy,cieszenie się na;radość,+ s
1543,ekstraklasa,radość;,+ s
1545,ekstremalny,smutek;złość;,- s
1546,ekstremalny,smutek;złość;,- m
1547,ekstremalny,zaskoczenie czymś nieprzewidywanym;złość;strach;,- s
1552,elegancki,radość;,+ m
1553,elegancki,radość;,+ m
1554,elegancki,zaufanie;radość,+ m
1555,elegancki,zaufanie;radość,+ m
1564,elita,,+ s
1565,elita,radość;zaufanie;złość;wstręt;,amb
1566,elita,radość;zaufanie;smutek;złość;wstręt;,amb
1570,emerytura,radość;cieszenie się na coś oczekiwanego;smutek;,amb
1577,energetyczny,radość;,+ s
1578,energetyczny,radość;,+ s
1579,energia,radość;,+ m
1580,energia,radość;,+ m
1581,energiczny,radość;zaufanie;,+ s
1582,energiczny,radość;zaufanie;,+ s
1583,entuzjasta,radość;cieszenie się na coś oczekiwanego;,+ s
1584,entuzjasta,radość;cieszenie się na coś oczekiwanego;,+ s
1585,entuzjazm,cieszenie się na;radość,+ m
1586,entuzjazm,radość;cieszenie się na coś oczekiwanego;,+ m
1587,epokowy,radość;,+ s
1588,epokowy,zaufanie;,+ s
1601,etyczny,radość;,+ s
1602,etyczny,zaufanie;radość,+ s
1609,ewidentny,zaufanie;złość;smutek,amb
1610,ewidentny,zaufanie;złość;smutek,amb
1613,facet,złość;radość;strach;wstręt,amb
1614,facet,złość;radość;wstręt,amb
1615,fachowiec,zaufanie;,+ m
1616,fachowiec,zaufanie;,+ m
1617,fachowy,zaufanie;radość,+ m
1618,fachowy,zaufanie;radość,+ m
1619,facio,użyteczność;wstręt;złość;dobro;krzywda;nieużyteczność;radość,amb
1620,facio,zaufanie;złość;radość;smutek;wstręt,amb
1621,fajny,radość;,+ m
1622,fajny,radość;,+ m
1625,faktyczność,zaufanie;radość;smutek;strach,amb
1626,faktyczność,radość;zaufanie;smutek;złość;strach;,amb
1629,fantastyczny,radość;,+ m
1630,fantastyczny,radość;,+ m
1635,fatalny,złość;smutek;strach,- m
1636,fatalny,złość;smutek;strach,- m
1637,fatum,złość;smutek,- s
1638,fatum,smutek;złość;,- s
1639,faworyt,zaufanie;,+ s
1640,faworyt,zaufanie;cieszenie się na coś oczekiwanego;,+ s
1646,fałszywy,wstręt;złość;smutek,- m
1647,fałszywy,smutek;złość;,- m
1650,fekalia,wstręt;,- s
1652,ferajna,radość;zaufanie;złość;wstręt;,amb
1653,ferajna,radość;zaufanie;,+ s
1654,ferajna,radość;zaufanie;złość;strach;wstręt;,amb
1655,feralny,zaskoczenie czymś nieprzewidywanym;smutek;,- m
1656,feralny,smutek;złość;,- m
1658,ferie,radość;cieszenie się na coś oczekiwanego;,+ s
1663,filantrop,radość;,+ s
1664,filantrop,radość;,+ s
1669,filigranowy,radość;,+ s
1670,filigranowy,radość;,+ s
1680,finał,radość;smutek;,amb
1683,finezja,radość;,+ s
1684,finezja,radość;,+ s
1685,finisz,radość;cieszenie się na coś oczekiwanego;,+ s
1691,firma,zaufanie;,+ s
1692,firma,zaufanie;cieszenie się na,+ s
1701,foremny,radość;,+ s
1702,foremny,radość;,+ s
1715,fortuna,radość;zaufanie;,+ m
